,Title,Published_date,Views,Likes,Comments,Month
22,God of War Ragnarök: ATREUS en busca del AMOR! #4,2022-11-11,1242311,70627,673,Nov
23,God of War Ragnarök: KRATOS en NUEVO Reino! #3,2022-11-10,1631978,82523,538,Nov
24,THE QUARRY: Episodio FINAL! ¿Hombres lobo?,2022-11-10,383358,27762,225,Nov
25,God of War Ragnarök: La llave SECRETA y Nuevas aventuras! #2,2022-11-09,1859739,105756,855,Nov
26,God of War Ragnarök: REGRESA KRATOS! #1,2022-11-09,3771361,197682,1906,Nov
27,KARMALAND 5: ¿Quién será el NUEVO Alcalde? #57,2022-11-08,509186,40183,280,Nov
28,"THE QUARRY: Fargan y Vegetta pasan mucho miedo, o tal vez no.",2022-11-07,556239,39913,462,Nov
29,KARMALAND 5: La LAVADORA de LA MUERTE! #56,2022-11-06,561637,40598,264,Nov
30,💰Robamos LA CAJA FUERTE DE KARMALAND! 💰 (Resumen #55),2022-11-05,291113,23111,374,Nov
31,¿TITI HA VUELTO A KARMALAND? (Resumen #54),2022-11-04,269662,21339,297,Nov
32,THE QUARRY: Fargan y Vegetta modo TERROR y RISAS!,2022-11-03,691120,54694,426,Nov
33,KARMALAND 5: La habitación de LOS SECRETOS! #55,2022-11-02,1132395,41282,301,Nov
34,SAPO PETA NOS HA PILLADO ROBANDO! (Resumen #53),2022-11-01,208010,18390,220,Nov
35,KARMALAND 5: Especial 🎃HALLOWEEN🎃 #54,2022-10-31,845436,52840,513,Oct
36,KARMALAND 5: El ejercito de GATOS! #53,2022-10-30,567343,45315,256,Oct
37,KARMALAND 5! Lo encontramos!!! (Resumen #52),2022-10-29,241997,22112,333,Oct
38,RESIDENT EVIL VILLAGE: Nuevo DLC Sombras de Rose,2022-10-28,931390,72607,676,Oct
39,Asi es el CIELO de KARMALAND 5 (Resumen #51),2022-10-27,226016,20426,445,Oct
40,KARMALAND 5: Se acerca 🎃 HALLOWEEN 🎃 #52,2022-10-26,684285,41356,279,Oct
41,KARMALAND 5: El enemigo mas fuerte! (Resumen #50),2022-10-25,195697,19194,148,Oct
42,KARMALAND 5: NUEVOS MODS! Rey del Norte! #51,2022-10-24,883211,47211,497,Oct
43,"KARMALAND 5  Frank,Luzu,Lolito y Vegetta JUNTOS! (Resumen #49)",2022-10-23,220683,22784,279,Oct
44,KARMALAND 5: Vegetta le pide matrimonio a LOLITO (Resumen #48),2022-10-22,212010,20807,397,Oct
45,KARMALAND 5: ¿NUEVO CASTILLO? #50,2022-10-21,1009568,48092,322,Oct
46,KARMALAND 5: 😡El mayor ENFADO de Vegetta777 (Resumen #47),2022-10-20,276262,24695,243,Oct
47,KARMALAND 5: YA SOY REY! 👑 #49,2022-10-19,668153,44514,267,Oct
48,KARMALAND 5: Vegetta777 haciendo la intro con cámara! (Resumen #46),2022-10-18,289116,35363,557,Oct
49,KARMALAND 5: El día después... #48,2022-10-17,911918,49823,862,Oct
50,KARMALAND 5 Despiertan a LOBO NOCTURNO! (Resumen #45),2022-10-16,252981,24295,425,Oct
51,"KARMALAND 5: La muerte, NUEVO pueblo y FARO MAGICO! #47",2022-10-15,901051,56445,900,Oct
52,KARMALAND 5 La cura de la CALVICIE! (Resumen #44),2022-10-14,198142,20723,191,Oct
53,KARMALAND 5  pero al final NO,2022-10-13,785813,80093,780,Oct
54,Mi primera vez en RUMBLEVERSE juego * GRATIS *,2022-10-12,186981,20253,369,Oct
55,KARMALAND 5: Tarde Mejor que NUNCA! #46,2022-10-11,1068015,57748,571,Oct
56,KARMALAND 5 Consejos PARA LIGAR! (Resumen #43),2022-10-10,237977,31752,391,Oct
57,KARMALAND 5: Lolito EL SECUESTRADOR! (Resumen #42),2022-10-09,216461,22595,241,Oct
58,KARMALAND 5: El PUEBLO NOCTURNO! Y SUBASTA! #45,2022-10-08,897530,57244,529,Oct
59,KARMALAND 5: 💜 AMOR 💜 y 💀MUERTE💀 #44,2022-10-07,651676,46413,313,Oct
60,KAMALAND 5: La FABRICA SECRETA de Sapo Peta (Resumen #41),2022-10-06,244296,22539,238,Oct
61,KARMALAND 5: ¿Quien ha hecho esto? ¿Mi futuro amor? #43,2022-10-05,958192,59249,458,Oct
62,KARMALAND 5: El dia que VEGETTA recupero sus FPS (Resumen #40),2022-10-04,272888,26618,221,Oct
63,KARMALAND 5: Buscando el AMOR! 💜 #42,2022-10-03,987911,60523,404,Oct
64,KARMALAND 5: Destruimos EL CUBO DE RUBIUS! (Resumen #39),2022-10-02,319260,27584,218,Oct
65,KARMALAND 5: Un Paraiso debajo del CASTILLO! #41,2022-10-01,804671,58917,468,Oct
66,KARMALAND 5: ¿Recupero mis FPS? #40,2022-09-30,1085232,52743,405,Sep
67,KARMALAN 5: LA VARITA DE LA SIMETRIA! (Resumen #38),2022-09-29,276031,25964,332,Sep
68,KARMALAND 5: Dia de SUBASTA! #39,2022-09-28,874051,59898,327,Sep
69,KARMALAND 5: La fiesta SECRETA de SAPO PETA (Resumen #37),2022-09-27,281387,25197,328,Sep
70,KARMALAND 5: Han tapado TODO MI CASTILLO! 😤 #38,2022-09-26,1132611,68418,502,Sep
71,5 años sin jugar RAIBOW SIX y pasa esto...,2022-09-25,736317,120449,3934,Sep
72,KARMALAND 5: Rubius es Willyrex (Resumen #36),2022-09-24,375227,32227,350,Sep
73,KARMALAND 5: HAN TAPADO EL SOL #37 (Parte 2),2022-09-23,580212,43361,237,Sep
74,KARMALAND 5: HAN TAPADO EL SOL! #37 (parte 1),2022-09-23,691125,46828,319,Sep
75,KARMALAND 5: Todos EN LA CARCEL! (Resumen #35),2022-09-22,307345,27786,276,Sep
76,KARMALAND 5: Nuestro LUGAR IDILICO! #36,2022-09-21,1258273,59399,416,Sep
77,KARMALAND 5: SAPO PETA nos lleva a este lugar! (Resumen #34),2022-09-20,243683,24965,212,Sep
78,KARMALAND 5: Adios a los FPS! #35,2022-09-19,1388045,64306,514,Sep
79,KARMALAND 5: El secreto de SAPO PETA! (Resumen #33),2022-09-18,272346,27481,272,Sep
80,KARMALAND 5: El MISTERIO de SAPO PETA y el Ascensor! #34,2022-09-17,1041462,68813,485,Sep
81,KARMALAND 5: SAPO PETA sacúdeme la TROMPETA 🎵 (Resumen #32),2022-09-16,287169,27946,312,Sep
82,KARMALAND 5: RUBIUS se vuelve LOCO! (Resumen #31),2022-09-15,371184,33238,351,Sep
83,KARMALAND 5: Lolito en la CARCEL! (Resumen #30),2022-09-15,296214,29040,312,Sep
84,KARMALAND 5: Dia de DIAMANTES y TORRETAS! #33,2022-09-14,1303757,64236,432,Sep
85,"Jugando GRATIS juegos de UBISOFT (Rainbow Six, Rayman y muchos mas)",2022-09-13,452015,40968,654,Sep
86,KARMALAND 5: Algo va a pasar... ¿QUE EVENTO? #32,2022-09-12,1919295,88336,834,Sep
87,KARMALAND 5: Aquí nacio TITI (Resumen #29),2022-09-11,335504,50145,463,Sep
88,KARMALAND 5: ¿Destruirá el VOLCAN Karmaland? #31,2022-09-10,1093524,75106,499,Sep
89,"KARMALAND 5: Willy, Fargan y Vegetta se BESAN! (Resumen #28)",2022-09-09,317272,30423,345,Sep
90,KARMALAND 5: ¿Qué pasara hoy? #30,2022-09-08,1044098,69819,559,Sep
91,KARMALAND 5: El amigo INVISIBLE! #29,2022-09-07,941690,64680,534,Sep
92,KARMALAND 5: La muerte de TITI 💔 (Resumen #27),2022-09-06,611789,43864,758,Sep
93,KARMALAND 5: Dia 1 Después de TITI #28,2022-09-05,2509012,95034,784,Sep
94,KARMALAND 5: Rubius y Vegetta hacen el salto mas EPICO! (Resumen #26),2022-09-04,392678,35031,414,Sep
95,KARMALAND 5: El juicio de TITI ¿Quién se queda con la custodia? #27,2022-09-03,1833658,112751,3327,Sep
96,KARMALAND 5: Todo mal hasta que... (Resumen #25),2022-09-02,435101,37805,307,Sep
97,KARMALAND 5: Ejercito de LOBOS! 🐺 #26,2022-09-01,1736003,68708,645,Sep
98,KARMALAND 5: Regresa LOBO NOCTURNO! (Resumen #24),2022-08-31,529300,44356,481,Aug
99,KARMALAND 5: El señor de los CUERVOS! #25,2022-08-30,1131924,72245,427,Aug
100,KARMALAND 5: El MEJOR OBJETO de Karmaland! (Resumen #23),2022-08-29,408202,36887,304,Aug
101,KARMALAND 5: Rituales ILEGALISIMOS! (Resumen #22),2022-08-28,409149,37020,420,Aug
102,"KARMALAND 5: Lanzapatatas, Molino y Juez! #24",2022-08-27,1370458,75432,616,Aug
103,KARMALAND 5: Si tocas la palanca BOOOM! (Resumen #21),2022-08-26,486643,41662,288,Aug
104,KARMALAND 5: El crafteo MAS GRANDE de Karmaland! #23,2022-08-25,1908734,77437,428,Aug
105,KARMALAND 5: Robando en CASAS! (Resumen #20),2022-08-24,392427,34772,299,Aug
106,SAINTS ROW! Vegetta777 Versión PASION DE GAVILANES,2022-08-23,213213,22882,335,Aug
107,KARMALAND 5: FUNCIONA! #22,2022-08-23,1328663,81652,795,Aug
108,KARMALAND 5: Terminamos el CASTILLO! #21,2022-08-22,1777489,81841,667,Aug
109,KARMALAND 5: Guardianes del CASTILLO! (Resumen #19),2022-08-21,442087,41429,373,Aug
110,KARMALAND 5: Nacimiento de TITI (Resumen #18),2022-08-20,453672,38558,367,Aug
111,"KARMALAND 5: ¿NUEVO miembro de KARMALAND, PACO? (Resumen #17)",2022-08-19,507040,46469,441,Aug
112,KARMALAND: Entrando en CASAS de forma EPICA! #20,2022-08-18,1644033,93951,678,Aug
113,KARMALAND 5: Un Castillo Humilde #19,2022-08-17,2944136,104115,656,Aug
114,Regreso a Marvel’s Spider-Man Remastered (PC) #1,2022-08-16,838575,53574,406,Aug
115,KARMALAND 5: ¿Frank esta embarazado? NUEVOS MODS #18,2022-08-15,1752075,112298,742,Aug
116,KARMALAND 5: Alquilamos la casa a LOLITO (Resumen #16),2022-08-14,583628,51211,334,Aug
117,KARMALAND 5: Han hecho esto en MI CASTILLO! #17,2022-08-13,2807482,112099,693,Aug
118,Willyrex y Vegetta prueban Tower of Fantasy *GRATIS*,2022-08-12,471952,28290,249,Aug
119,KARMALAND 5: El servidor ODIA a VEGETTA! (Resumen #15),2022-08-11,770127,59470,354,Aug
120,KARMALAND 5: Guardian de TUMBAS! Y construccion de CASTILLO! #16,2022-08-10,1793472,111397,854,Aug
121,KARMALAND 5: Mi Nuevo HOGAR! #15,2022-08-09,2241307,109033,702,Aug
122,KARMALAND 5: FIESTA en casa de VEGETTA *SALE MAL* (Resumen #14),2022-08-08,825974,66270,703,Aug
123,KARMALAND 5: Arboles SECRETOS y FIESTAS de Karmaland! #14,2022-08-07,1931668,128525,967,Aug
124,KARMALAND 5: Reaccionamos a MI CANCION! (Resumen #13),2022-08-06,728198,65618,560,Aug
125,KARMALAND 5: La sala SECRETA de MAGIA! #13,2022-08-05,2498142,122004,578,Aug
126,KARMALAND 5: Construimos EL CASTILLO! (Resumen #12),2022-08-04,881782,78967,616,Aug
127,KARMALAND 5: El CASTILLO del MAGO NOCTURNO! #12,2022-08-03,3324376,145609,934,Aug
128,KARMALAND 5: Entro en casa de RUBIUS y NO puedo SALIR! (Resumen #11),2022-08-02,800003,66806,458,Aug
129,KARMALAND 5: Comenzamos CASTILLO DEL MAGO! #11,2022-08-01,2818393,156479,1209,Aug
130,KARMALAND 5: Rubius ENFADADO 😤 (Resumen #10),2022-07-31,1121836,88567,862,Jul
131,KARMALAND 5: Willy tiene un gran... (Resumen #9),2022-07-30,810006,63277,507,Jul
132,KARMALAND 5: Rubius y Vegetta vigilantes de la PLAYA (Resumen #8),2022-07-29,642486,62041,587,Jul
133,KARMALAND 5: Asi sera nuestro CASTILLO DEL MAGO! #10,2022-07-28,3625976,203533,1636,Jul
134,MULTIVERSUS - Mi primera vez,2022-07-27,913161,56877,492,Jul
135,KARMALAND 5: Hoy tengo pensado hacer esto... #9,2022-07-26,2768926,190668,1809,Jul
136,KARMALAND 5: Quackity canta para Vegetta777 (Resumen #7),2022-07-25,917599,84546,889,Jul
137,KARMALAND 5: Magia y SUPER ISLA! #8,2022-07-24,2995643,184370,1312,Jul
138,KARMALAND 5: Regresa FRANK EMBARAZADO! (Resumen #6),2022-07-23,857616,68959,578,Jul
139,KARMALAND 5: La isla de MAGOGETTA #7,2022-07-22,3655583,212538,1549,Jul
140,SAINTS ROW (Crea a tu personaje con MUCHO detalle),2022-07-21,547239,49227,842,Jul
141,KARMALAND 5: Las aventuras de Aquaman y Chico Percebe (Resumen #5),2022-07-20,1038132,90732,740,Jul
142,Forza Horizon 5: Hot Wheels *YA DISPONIBLE*,2022-07-20,803073,61537,257,Jul
143,KARMALAND 5: ¿Evento inesperado? #6,2022-07-19,3349177,229783,1429,Jul
144,KARMALAND 5: El cocinero Vegettini #5,2022-07-18,3638266,226242,1571,Jul
145,KARMALAND 5 Espiritus y trampas de Willy y Fargan! (Resumen #4),2022-07-17,1368781,109542,1108,Jul
146,KARMALAND 5: Han entrado en mi casa! #4,2022-07-16,3681107,244178,2527,Jul
147,KARMALAND 5: Mina de Rubius y Tridente de Fargan (Resumen #3),2022-07-15,1589676,127773,1251,Jul
148,KARMALAND: Granja de Comida y Casa Montaña! #3,2022-07-14,4634859,261285,1794,Jul
149,KARMALAND 5: Construimos Cueva y Casa de BRUJAS! (Resumen #2),2022-07-13,1679012,133456,1608,Jul
150,KARMALAND 5: Mi primera CASA #2,2022-07-12,6593383,372738,3026,Jul
151,KARMALAND 5: El primer dia de Vegetta777 (Resumen #1),2022-07-11,1724411,156751,2155,Jul
152,KARMALAND 5: Nuevo Comienzo! #1,2022-07-10,7384334,497440,4933,Jul
153,KARMALAND: Lo Nunca Visto! (PODCAST),2022-07-09,5840718,446459,4196,Jul
154,Mañana KARMALAND! hoy estoy enfermo pero hay FALL GUYS! ^^,2022-07-08,361370,32973,766,Jul
155,"Risas, Victorias en FALL GUYS!",2022-07-07,451825,30620,281,Jul
156,Vegetta777 es DOCTOR MUERTE!,2022-07-06,264019,28685,366,Jul
157,Wigetta en Sandbox *DESCARGA GRATIS*,2022-07-05,320361,29110,479,Jul
158,Hoy ¿SOLO VICTORIAS? Fall Guys!,2022-07-04,879288,37923,238,Jul
159,NORMAS DE KARMALAND,2022-07-03,2017399,193133,2147,Jul
160,Soy GANDUL y hoy no hay directo pero si AMONG US...,2022-07-02,362164,38646,438,Jul
161,Jugador PRO nos quiere MATAR!,2022-07-01,179707,18792,264,Jul
162,HALO en FALL GUYS!,2022-06-30,559660,44388,228,Jun
163,Karmaland 5 - Trailer Oficial,2022-06-29,4417001,641882,21899,Jun
164,GATO ZEN en FALL GUYS! ¿Solo Victorias?,2022-06-29,329625,25285,221,Jun
165,FALL GUYS en PS5 *Vamos a por el PLATINO*,2022-06-28,340898,26609,176,Jun
166,Fall Guys 5 VICTORIAS SEGUIDAS pero...,2022-06-27,328429,24657,351,Jun
167,RACHA DE 10 VICTORIAS SEGUIDAS... Hoy con PROS! (y Willy),2022-06-26,367439,28492,204,Jun
168,Hoy no pude hacer directo pero... ¿SERE EL MEJOR IMPOSTOR?,2022-06-25,295151,30971,346,Jun
169,🏆 5 VICTORIAS SEGUIDAS EN FALL GUYS! 🏆,2022-06-24,581322,32094,268,Jun
170,AMONG US: Impostor y traidor!,2022-06-23,335696,30950,318,Jun
171,Roller Champions con Willy y Alexby  ¡Descárgalo ya y juega con nosotros!,2022-06-22,219921,16800,139,Jun
172,FALL GUYS! Seguimos con RACHA DE VICTORIAS! *GRATIS*,2022-06-22,259157,20368,109,Jun
173,Fall Guys *GRATIS* Super ACTUALIZACION!,2022-06-21,758415,34805,242,Jun
174,Among Us en 2022 + PUBG MOBILE!,2022-06-20,220156,26235,454,Jun
175,FALL GUYS: Mañana GRATIS hoy VICTORIAS!,2022-06-20,317988,21194,220,Jun
176,Jugando con Suscriptores a FALL GUYS!,2022-06-19,228083,23189,138,Jun
177,PUBG en PRIMERA PERSONA! con Aroyait Alexby y Fargan,2022-06-18,137308,14589,253,Jun
178,¿Victorias en PUBG y FALL GUYS?,2022-06-17,578537,27655,167,Jun
179,FALL GUYS! ¿Los mejores del mundo?,2022-06-16,309521,23159,135,Jun
180,Jurassic World Evolution 2: Dominion Biosyn *WIGETTA ENTRE DINOSAURIOS*,2022-06-15,242668,26850,307,Jun
181,DOBLE DIRECTO: PUBG + FALL GUYS! ¿VICTORIAS?,2022-06-14,537554,28676,185,Jun
182,¿5 VICTORIAS SEGUIDAS? Fall Guys!,2022-06-13,327819,23354,152,Jun
183,4 VICTORIAS SEGUIDAS en FALL GUYS!,2022-06-12,373470,27101,162,Jun
184,Willy se enfada y nos da LATIGAZOS!,2022-06-11,173702,18223,275,Jun
185,The Elder Scrolls Online: NUEVO DLC + SORTEO DE CODIGOS!,2022-06-10,288611,19550,187,Jun
186,FALL GUYS ¿Dia de LLoros?😭,2022-06-09,417995,25469,128,Jun
187,PUBG: Nueva Actualizacion! NUEVO MAPA! *4 VICTORIAS*,2022-06-08,411189,28966,164,Jun
188,¿Nos tratara bien Willy? DIA SIN LATIGAZOS EN FALL GUYS!,2022-06-07,354104,26055,184,Jun
189,100% FELICES en FALL GUYS!,2022-06-06,386065,29387,214,Jun
190,ARKADIA 2: FINAL,2022-06-05,548425,48180,546,Jun
191,WILLYREX nos pone MUY NERVIOSOS en Fall Guys!,2022-06-04,160900,18608,239,Jun
192,FALL GUYS ¿MAS DE 3 VICTORIAS?,2022-06-03,309892,25925,247,Jun
193,ARKADIA 2: Unicornio y CRISTALES SORPRESA!,2022-06-03,201016,22067,186,Jun
194,ARKADIA 2: ¿Todo se acaba?,2022-06-02,241334,26000,254,Jun
195,Vegetta777 en FALL GUYS! (Luego Arkadia),2022-06-02,295617,25663,127,Jun
196,VOLVEMOS A PUBG ¿Conseguiremos victorias?,2022-06-01,332833,23594,213,Jun
197,ARKADIA 2: En busca de Shadowmane,2022-05-31,343360,27998,262,May
198,ARKADIA 2: Nuevo Mundo y VENDEMOS TODO!!!,2022-05-30,404033,28869,176,May
199,ARKADIA 2: Evento + SUPER BASILISCO!,2022-05-29,407457,33926,150,May
200,"LOS MEJORES MOMENTOS con Alexby, Fargan, Willy y Ariosia",2022-05-28,169521,18460,289,May
201,ARKADIA 2: A por el Basilisco y Dragon de ROCA!,2022-05-27,376005,29670,178,May
202,ARKADIA 2: Estoy Embarazado!,2022-05-26,372563,29339,154,May
203,SOY INMORTAL EN GANG BEAST!,2022-05-25,183346,21222,356,May
204,ARKADIA 2: El sheriff cazador de NUEVOS dinosaurios!,2022-05-24,398859,31168,217,May
205,GANG BEAST! Hemos Vuelto!,2022-05-23,553147,40025,255,May
206,ARKADIA 2: Nuevo SHERIFF! Nuevo Mundo!,2022-05-23,295089,27253,219,May
207,ARKADIA 2: EVENTO ¿Regresara mi padre?,2022-05-22,700024,37717,218,May
208,ARKADIA 2: Somos ricos y Hoy hacemos caso a WILLY EL MUDO!,2022-05-21,346312,30044,231,May
209,"Hoy no pude hacer ARK y tenia este con Nefa,Willy y Angel!",2022-05-20,150390,17559,295,May
210,ARKADIA 2: Cazador de CORRUPTOS!,2022-05-19,476446,31907,280,May
211,ARKADIA 2: ¿Mi padre RUSITO ha muerto?,2022-05-18,423893,32834,228,May
212,Me dejan probar APEX LEGENDS MOBILE! *GRATIS*,2022-05-17,324381,41975,769,May
213,ARKADIA 2: EL GRAN EVENTO + HUEVOS GIGANTES!,2022-05-16,516671,37340,263,May
214,ARKADIA 2: ¿El mejor cultivo de arkadia? #28,2022-05-15,331570,29414,208,May
215,Regresamos a PUBG y luego ARKADIA 2!!!,2022-05-15,296310,27048,151,May
216,ARKADIA 2: Nuevos cultivos y ESPINOSAURIOS! #27,2022-05-14,383237,32565,204,May
217,ARKADIA 2: Mi unicornio y Yo! #26,2022-05-13,426832,33328,222,May
218,ARKADIA 2: Dia de Aventuras! Y el gran invernadero! #25,2022-05-12,415025,34757,222,May
219,ARKADIA 2: EL SEÑOR DE LA CACA! #24,2022-05-11,412410,32070,282,May
220,ARKADIA 2: El gran Volcan y Meteoritos en el mapa! #23,2022-05-10,412281,33226,216,May
221,ARKADIA 2: El GRAN EVENTO! #22,2022-05-09,619501,43407,340,May
222,No puedo hacer ARK y este video Nunca lo subí...,2022-05-08,316853,44224,724,May
223,ARKADIA 2: Dia de TAMEO! ¿Qué puede salir mal?,2022-05-07,489337,39916,399,May
224,ARKADIA 2: Evento SUBASTA DE ALMACENES! #21,2022-05-06,593452,38897,199,May
225,ARKADIA 2: Cocinero Vegetta y Buscador de Tesoros! #20,2022-05-05,480051,36570,246,May
226,ARKADIA 2: Mi primer RAIDEO y Evento FAIL #19,2022-05-04,462449,37328,363,May
227,ARKADIA 2: EL GRAN DIA! ¿Nos han robado? #18,2022-05-03,554055,41925,403,May
228,ARKADIA 2: ¿Terminamos la casa? #17,2022-05-02,557261,44958,252,May
229,ARKADIA 2: Construimos SUPER CASA ARBOL! #16,2022-05-01,640223,50448,330,May
230,ARKADIA 2: Lobo Gigante + SUPER EVENTO! #15,2022-04-30,712975,51119,438,Apr
231,ARKADIA 2: Primera SUBASTA! #14,2022-04-29,833600,56297,531,Apr
232,ARKADIA 2: Queremos mas GLORYS! 💰 #13,2022-04-28,988526,49605,536,Apr
233,ARKADIA 2: ¿Somos Ricos? #12,2022-04-27,611784,48265,450,Apr
234,El angel de AMOR 😇,2022-04-26,160739,20517,182,Apr
235,ARKADIA 2: Nuevos Dinosaurios y Casino #11,2022-04-25,687666,50422,377,Apr
236,ARKADIA 2: Desbloqueamos CASINO! #10,2022-04-24,546842,52424,253,Apr
237,ARKADIA 2: ¿Dia de Casino? NUEVO HOGAR! #9,2022-04-24,399461,43540,239,Apr
238,ARKADIA 2: Primer Evento! ¿NUEVO TREN? Ya tengo LUZ! #8,2022-04-24,940908,84729,483,Apr
239,"ME QUEDE SIN LUZ, y este es mi vídeo de emergencia! Os quiero!",2022-04-23,243805,35335,970,Apr
240,ARKADIA 2: Comienza la construccion! #7,2022-04-22,813255,65764,579,Apr
241,ARKADIA 2: Compramos UN LUGAR IDILICO! #6,2022-04-21,872442,65534,549,Apr
242,ARKADIA 2: Ejercito de Dientes de Sable! #5,2022-04-20,828500,63323,515,Apr
243,ARKADIA 2: Dia de HUEVOS! #4,2022-04-19,887612,72550,456,Apr
244,ARKADIA 2: Descubrimos GRIETA DE LA MUERTE #3,2022-04-18,894758,72572,560,Apr
245,ARKADIA 2: Lobo Loco en busca de oro! #2,2022-04-17,1138185,91595,590,Apr
246,ARKADIA 2: Comenzamos la Aventura #1,2022-04-17,1997303,164686,1106,Apr
247,Fargana y Vegettana JUNTAS CONTRA EL MUNDO!,2022-04-15,350171,34536,509,Apr
248,HELLO NEIGHBOR 2 (Descubrimos al hijo del vecino) FINAL,2022-04-14,918766,97438,1942,Apr
249,HELLO NEIGHBOR 2 (Encontramos al PESCADOR) #5,2022-04-13,893080,89638,2273,Apr
250,PUBG: Nueva Actualizacion y EL MEJOR AMIGO!,2022-04-13,734592,33893,183,Apr
251,HELLO NEIGHBOR 2 (El secreto de la COCINERA) #4,2022-04-12,1037899,99083,3502,Apr
252,GANG BEAST en MI CUMPLEAÑOS! 🥳,2022-04-12,710507,61902,1780,Apr
253,HELLO NEIGHBOR 2 (Espiamos al alcalde mientras duerme) #3,2022-04-11,1074568,105940,1794,Apr
254,"PUBG: Pollo, Amistad, y Victorias!",2022-04-11,368398,25096,164,Apr
255,HELLO NEIGHBOR 2 (Encontramos el escondite del vecino) #2,2022-04-10,1089228,120222,2314,Apr
256,HELLO NEIGHBOR 2 (El vecino ha desaparecido) #1,2022-04-09,1935996,193387,4861,Apr
257,CHICAS GG vs AROXBY,2022-04-08,576062,40889,297,Apr
258,La partida MAS EPICA vs POLLO GIGANTE,2022-04-07,157237,17636,176,Apr
259,"PUBG: POLLO GIGANTE con Aroya, Alexby y Fargan!",2022-04-06,355295,28694,165,Apr
260,VEGETTA777 en HORIZON: Aloy *NIVEL 50* Y las maquinas MAS DIFICILES! (PS5),2022-04-05,231139,22210,157,Apr
261,FORTNITE ¿Victorias sin Construir? EQUIPO UNICORNIO 🦄,2022-04-04,423327,29698,177,Apr
262,PUBG: POLLO GIGANTE!!! *NUEVA ACTUALIZACION*,2022-04-03,759538,39366,185,Apr
263,Pochinkardo en Camara!,2022-04-02,276761,28880,402,Apr
264,CAMPEON DE WWE 2K22 *BESTIAGETTA HA VUELTO*,2022-04-02,236163,19501,118,Apr
265,FORTNITE ¿Cuantas Victorias?,2022-04-01,381465,25155,143,Apr
266,Mi NUEVO PC y La partida donde NADIE hace caso a VEGETTA777,2022-03-31,389929,43035,499,Mar
267,FORTNITE *NUEVO* LANZACOHETES ¿Sera Anti Tanques?,2022-03-30,378495,29116,146,Mar
268,FORTNITE ¿VICTORIA SIN CONSTRUIR?,2022-03-29,177381,20631,271,Mar
269,PUBG: Queremos Pollo!!!! AU AU AU!,2022-03-28,486943,27509,181,Mar
270,Soy IBAI y pasa esto...,2022-03-27,299958,32138,412,Mar
271,Todos se reian de Vegetta hasta que...,2022-03-26,393587,34787,343,Mar
272,Tiny Tina’s Wonderlands: Un mundo INCREIBLE! #1,2022-03-25,354015,30646,239,Mar
273,FORTNITE *NUEVA TEMPORADA* ¿Victoria sin construir?,2022-03-24,878902,48690,320,Mar
274,PUBG: Noob Vs 500 Vs Mala suerte! 🏆🍗,2022-03-23,454526,27056,187,Mar
275,PUBG: Equipo POCHINKARDO! ¿VICTORIAS?,2022-03-22,391177,28860,146,Mar
